date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,1,0,0,1
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,2,0,0,2
2020-03-09,0,0,0,0
2020-03-10,4,0,0,4
2020-03-11,6,0,0,6
2020-03-12,4,0,0,4
2020-03-13,7,0,0,7
2020-03-14,14,0,0,14
2020-03-15,13,0,0,13
2020-03-16,11,0,0,11
2020-03-17,0,0,0,0
2020-03-18,54,0,0,54
2020-03-19,34,0,0,34
2020-03-20,52,0,0,52
2020-03-21,38,0,0,38
2020-03-22,34,0,0,34
2020-03-23,128,0,0,128
2020-03-24,152,4,0,148
2020-03-25,155,8,0,147
2020-03-26,218,0,0,218
2020-03-27,243,19,1,223
2020-03-28,17,0,0,17
2020-03-29,93,0,1,92
2020-03-30,46,0,1,45
2020-03-31,27,0,2,25
2020-04-01,27,19,0,8
2020-04-02,82,0,0,82
2020-04-03,43,39,4,-6
