date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,1,0,1
2020-02-28,1,1,0,1
2020-02-29,3,3,0,3
2020-03-01,4,4,0,4
2020-03-02,4,4,0,4
2020-03-03,6,6,0,6
2020-03-04,11,11,0,11
2020-03-05,11,11,0,11
2020-03-06,24,24,0,23
2020-03-07,24,24,0,23
2020-03-08,37,37,0,36
2020-03-09,92,92,0,91
2020-03-10,264,264,0,263
2020-03-11,444,444,0,443
2020-03-12,617,617,0,616
2020-03-13,804,804,0,803
2020-03-14,836,835,1,834
2020-03-15,875,873,2,872
2020-03-16,933,930,3,929
2020-03-17,1025,1021,4,1020
2020-03-18,1116,1112,4,1111
2020-03-19,1225,1219,6,1218
2020-03-20,1337,1328,9,1327
2020-03-21,1420,1407,13,1406
2020-03-22,1514,1501,13,1500
2020-03-23,1572,1548,24,1547
2020-03-24,1718,1686,32,1650
2020-03-25,1862,1828,34,1787
2020-03-26,2023,1982,41,1932
2020-03-27,2200,2148,52,2091
2020-03-28,2366,2301,65,2244
2020-03-29,2564,2492,72,2419
2020-03-30,2755,2678,77,2605
2020-03-31,3039,2949,90,2872
