date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,2,0,0,2
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,3,0,0,3
2020-03-01,7,0,0,7
2020-03-02,8,0,0,8
2020-03-03,12,0,0,12
2020-03-04,17,0,0,17
2020-03-05,23,0,0,23
2020-03-06,37,0,0,37
2020-03-07,46,0,0,46
2020-03-08,75,0,0,75
2020-03-09,98,2,0,96
2020-03-10,126,4,0,122
2020-03-11,148,4,0,144
2020-03-12,203,4,0,199
2020-03-13,312,6,0,306
2020-03-14,409,6,1,402
2020-03-15,591,6,1,584
2020-03-16,801,6,2,793
2020-03-17,999,1,3,995
2020-03-18,1225,9,5,1211
2020-03-19,1571,9,7,1555
2020-03-20,1943,9,12,1922
2020-03-21,2398,9,15,2374
2020-03-22,2909,9,20,2880
2020-03-23,3455,9,26,3420
2020-03-24,4073,9,34,4030
2020-03-25,4760,9,46,4705
2020-03-26,5483,112,56,5315
2020-03-27,6237,225,65,5947
2020-03-28,7293,225,81,6987
2020-03-29,8100,479,101,7520
2020-03-30,8717,636,120,7961
2020-03-31,9264,1095,134,8035
2020-04-01,9937,1436,155,8346
